age,goals,assists,annual_wage,non_penalty_goals,shot_creating_actions,passes_attempted,pass_completion,progressive_passes,progressive_carries,successful_take_ons,progressive_passes_rec,tackles,interceptions,blocks,clearances,aerials_won,penalty_play,play_time,shots_touches,position_DF,"position_DF,FW",position_FW,"position_FW,MF",position_MF,"position_MF,DF",league_Bundesliga,league_La Liga,league_Ligue 1,league_Premier League,league_Serie A
29.0,0,1,1300000.0,0.0,1.28,43.26,0.813,3.48,0.73,0.32,0.73,1.33,1.83,1.33,2.06,1.28,-0.3573753679180987,0.8223812549750726,-0.6390724940728586,False,False,False,False,True,False,False,False,False,False,True
20.0,3,3,190000.0,0.12,2.86,37.17,0.783,3.62,4.09,2.81,9.29,0.82,0.41,0.58,0.58,0.06,-0.3573753679180987,0.6536046047881194,0.3698008839412831,False,False,False,True,False,False,False,True,False,False,False
31.0,2,2,1400000.0,0.1,2.12,46.81,0.81,3.72,1.98,0.43,5.07,1.93,1.21,0.82,1.98,0.58,-0.3573753679180987,0.3437989114600735,-0.42751918364028796,True,False,False,False,False,False,False,True,False,False,False
33.0,0,0,720000.0,0.1261604938271605,2.2377777777777776,44.491006172839505,0.0,3.6607901234567897,1.7304753086419755,0.8134999999999999,3.861845679012346,1.6527283950617284,0.8093209876543209,1.1469012345679013,1.9009814814814816,1.3943333333333332,-0.3573753679180987,-2.909249568291667,-2.761993637190646e-17,False,False,False,True,False,False,False,True,False,False,False
25.0,0,0,580000.0,0.4,2.49,31.4,0.756,4.49,1.5,0.5,6.38,2.09,0.1,1.0,0.8,1.1,-0.3573753679180987,-2.960541210902871,0.8339729586368074,False,False,False,False,True,False,False,True,False,False,False
26.0,3,6,720000.0,0.09,3.71,81.56,0.869,8.15,1.52,0.38,1.4,1.31,1.02,1.29,1.49,0.47,-0.3573753679180987,2.8605694345260333,-0.9694386343053152,False,False,False,False,True,False,False,True,False,False,False
20.0,0,1,1670000.0,0.0,1.75,57.83,0.858,3.35,5.48,1.51,9.31,1.46,0.28,0.9,1.32,0.66,-0.3573753679180987,-0.3290830607634236,-0.36282419400137617,True,False,False,False,False,False,False,True,False,False,False
25.0,0,0,720000.0,0.0,2.48,51.7,0.73,3.93,1.75,0.29,4.95,1.67,0.66,1.09,2.04,0.58,-0.3573753679180987,-0.7471898248640457,-1.293286921811285,False,False,False,False,False,True,False,True,False,False,False
29.0,0,0,4867655.0,0.1261604938271605,2.2377777777777776,44.491006172839505,0.0,3.6607901234567897,1.7304753086419755,0.8134999999999999,3.861845679012346,1.6527283950617284,0.8093209876543209,1.1469012345679013,1.9009814814814816,1.3943333333333332,-0.3573753679180987,-2.9444500978211607,-2.761993637190646e-17,False,False,True,False,False,False,False,False,False,True,False
30.0,0,0,300000.0,0.0,0.36,31.15,0.93,0.91,0.0,0.0,0.18,1.09,1.82,1.46,7.83,2.37,-0.3573753679180987,-1.876903376130289,-1.7312412107473218,True,False,False,False,False,False,False,True,False,False,False
